Winner TossWinner
Bombay Bombay
Bombay Bombay
Nawanagar Nawanagar
Hyderabad Nawanagar
Bengal Bengal
Maharashtra UnitedProvinces
Bombay* Bengal
Bombay Rajasthan
Bombay Bombay
Bombay Bombay
Bombay* Punjab
Karnataka* Karnataka
Mumbai* Mumbai
Karnataka* UttarPradesh
Mumbai Mumbai
Gujarat Gujarat
Vidarbha Vidarbha
Vidarbha Vidarbha
